Miasto,Data i godzina,Temperatura,Opady,Wilgodnoœæ
Bia³ystok,2021-07-07 07:00:00+02:00,24.9,71.3,0
Bielsko Bia³a,2021-07-07 07:00:00+02:00,25.7,49.1,0
Chojnice,2021-07-07 07:00:00+02:00,22.9,67.4,0
Czêstochowa,2021-07-07 07:00:00+02:00,26.1,58.3,0
Elbl¹g,2021-07-07 07:00:00+02:00,24.7,62.3,0
Gdañsk,2021-07-07 07:00:00+02:00,24.5,69.5,0
Gorzów,2021-07-07 07:00:00+02:00,20.1,74.4,0
Hel,2021-07-07 07:00:00+02:00,22.9,74.3,0
Jelenia Góra,2021-07-07 07:00:00+02:00,19.5,78.8,0
Kalisz,2021-07-07 07:00:00+02:00,24.2,61.4,0
Kasprowy Wierch,2021-07-07 07:00:00+02:00,12.6,78.9,0
Katowice,2021-07-07 07:00:00+02:00,26.2,51.2,0
Kêtrzyn,2021-07-07 07:00:00+02:00,26.2,69.3,0
Kielce,2021-07-07 07:00:00+02:00,25.3,60.0,0
K³odzko,2021-07-07 07:00:00+02:00,22.2,64.3,0
Ko³o,2021-07-07 07:00:00+02:00,26.5,51.3,0
Ko³obrzeg,2021-07-07 07:00:00+02:00,19.2,86.8,0.01
Koszalin,2021-07-07 07:00:00+02:00,20.3,84.7,0
Kozienice,2021-07-07 07:00:00+02:00,26.8,59.9,0
Kraków,2021-07-07 07:00:00+02:00,24.9,62.3,0
Krosno,2021-07-07 07:00:00+02:00,24,69.4,0
Legnica,2021-07-07 07:00:00+02:00,22.1,70.4,0
Lesko,2021-07-07 07:00:00+02:00,23.7,67.1,0
Leszno,2021-07-07 07:00:00+02:00,23,66.2,0
Lêbork,2021-07-07 07:00:00+02:00,23.9,71.2,0
Lublin,2021-07-07 07:00:00+02:00,26.3,62.2,0
£eba,2021-07-07 07:00:00+02:00,23,77.7,0.01
£ódŸ,2021-07-07 07:00:00+02:00,25.7,61.3,0
Miko³ajki,2021-07-07 07:00:00+02:00,24.5,79.4,0
M³awa,2021-07-07 07:00:00+02:00,26.2,61.0,0
Nowy S¹cz,2021-07-07 07:00:00+02:00,23.2,67.5,0
Olsztyn,2021-07-07 07:00:00+02:00,26.5,55.1,0
Opole,2021-07-07 07:00:00+02:00,23,69.2,0
Ostro³êka,2021-07-07 07:00:00+02:00,26.7,63.8,0
Pi³a,2021-07-07 07:00:00+02:00,22.5,65.2,0
Platforma,2021-07-07 07:00:00+02:00,21.1,80.5,0
P³ock,2021-07-07 07:00:00+02:00,25.7,56.0,0.01
Poznañ,2021-07-07 07:00:00+02:00,23.7,58.2,0
Przemyœl,2021-07-07 07:00:00+02:00,24.3,69.4,0
Racibórz,2021-07-07 07:00:00+02:00,22.8,71.4,0
Resko,2021-07-07 07:00:00+02:00,19.1,84.6,0.01
Rzeszów,2021-07-07 07:00:00+02:00,25.4,71.4,0
Sandomierz,2021-07-07 07:00:00+02:00,25.1,68.2,0
Siedlce,2021-07-07 07:00:00+02:00,25.5,64.1,0
S³ubice,2021-07-07 07:00:00+02:00,17.1,86.7,0.4
Sulejów,2021-07-07 07:00:00+02:00,24.6,63.1,0
Suwa³ki,2021-07-07 07:00:00+02:00,23.9,74.4,0
Szczecin,2021-07-07 07:00:00+02:00,17.9,93.1,1
Szczecinek,2021-07-07 07:00:00+02:00,21.4,79.0,0
Œnie¿ka,2021-07-07 07:00:00+02:00,10.7,100.0,0.2
Œwinoujœcie,2021-07-07 07:00:00+02:00,18,87.9,0.7
Tarnów,2021-07-07 07:00:00+02:00,27.2,54.1,0
Terespol,2021-07-07 07:00:00+02:00,24.6,70.4,0
Toruñ,2021-07-07 07:00:00+02:00,25.5,61.2,0
Ustka,2021-07-07 07:00:00+02:00,21.4,80.6,0
Warszawa,2021-07-07 07:00:00+02:00,26.1,60.2,0
Wieluñ,2021-07-07 07:00:00+02:00,24.9,61.1,0
W³odawa,2021-07-07 07:00:00+02:00,24.5,70.3,0
Wroc³aw,2021-07-07 07:00:00+02:00,23.4,59.3,0
Zakopane,2021-07-07 07:00:00+02:00,23.1,58.0,0
Zamoœæ,2021-07-07 07:00:00+02:00,24.5,75.4,0
Zielona Góra,2021-07-07 07:00:00+02:00,19.2,71.4,0
Bia³ystok,2021-07-07 08:00:00+02:00,26.1,68.4,0
Bielsko Bia³a,2021-07-07 08:00:00+02:00,28.2,40.0,0
Chojnice,2021-07-07 08:00:00+02:00,23.8,65.4,0
Czêstochowa,2021-07-07 08:00:00+02:00,28.7,44.8,0
Elbl¹g,2021-07-07 08:00:00+02:00,25.9,62.1,0
Gdañsk,2021-07-07 08:00:00+02:00,25.2,68.2,0
Gorzów,2021-07-07 08:00:00+02:00,19.5,81.4,0
Hel,2021-07-07 08:00:00+02:00,25.1,64.4,0
Jelenia Góra,2021-07-07 08:00:00+02:00,19.9,75.3,0
Kalisz,2021-07-07 08:00:00+02:00,26,57.1,0
Kasprowy Wierch,2021-07-07 08:00:00+02:00,13.1,74.8,0
Katowice,2021-07-07 07:00:00+02:00,26.2,51.2,0
Kêtrzyn,2021-07-07 08:00:00+02:00,27.3,59.2,0
Kielce,2021-07-07 08:00:00+02:00,26.8,55.1,0
K³odzko,2021-07-07 08:00:00+02:00,22.3,67.3,0
Ko³o,2021-07-07 07:00:00+02:00,26.5,51.3,0
Ko³obrzeg,2021-07-07 08:00:00+02:00,19.8,85.8,0.01
Koszalin,2021-07-07 08:00:00+02:00,20.2,82.5,0
Kozienice,2021-07-07 08:00:00+02:00,28,53.9,0
Kraków,2021-07-07 08:00:00+02:00,27.4,54.9,0
Krosno,2021-07-07 08:00:00+02:00,26,61.3,0
Legnica,2021-07-07 08:00:00+02:00,24.3,57.2,0
Lesko,2021-07-07 08:00:00+02:00,25.6,58.1,0
Leszno,2021-07-07 08:00:00+02:00,23.8,57.1,0
Lêbork,2021-07-07 08:00:00+02:00,25.3,64.0,0
Lublin,2021-07-07 08:00:00+02:00,27.4,54.2,0
£eba,2021-07-07 08:00:00+02:00,24,73.5,0.01
£ódŸ,2021-07-07 08:00:00+02:00,27.9,55.0,0
Miko³ajki,2021-07-07 08:00:00+02:00,26,74.2,0
M³awa,2021-07-07 08:00:00+02:00,28,49.9,0
Nowy S¹cz,2021-07-07 08:00:00+02:00,25.8,59.0,0
Olsztyn,2021-07-07 08:00:00+02:00,28.2,50.0,0
Opole,2021-07-07 08:00:00+02:00,24.4,65.1,0
Ostro³êka,2021-07-07 07:00:00+02:00,26.7,63.8,0
Pi³a,2021-07-07 08:00:00+02:00,23.7,62.1,0
Platforma,2021-07-07 08:00:00+02:00,21,83.7,0
P³ock,2021-07-07 08:00:00+02:00,28,49.0,0.01
Poznañ,2021-07-07 08:00:00+02:00,25.4,49.1,0
Przemyœl,2021-07-07 08:00:00+02:00,26.1,68.4,0
Racibórz,2021-07-07 08:00:00+02:00,24.8,66.4,0
Resko,2021-07-07 08:00:00+02:00,19.2,85.7,0.01
Rzeszów,2021-07-07 08:00:00+02:00,27.8,53.9,0
Sandomierz,2021-07-07 08:00:00+02:00,27.1,60.0,0
Siedlce,2021-07-07 08:00:00+02:00,26.8,59.9,0
S³ubice,2021-07-07 08:00:00+02:00,16.5,90.7,0.4
Sulejów,2021-07-07 07:00:00+02:00,24.6,63.1,0
Suwa³ki,2021-07-07 08:00:00+02:00,26,67.1,0
Szczecin,2021-07-07 08:00:00+02:00,17.8,93.1,1
Szczecinek,2021-07-07 08:00:00+02:00,22,74.2,0
Œnie¿ka,2021-07-07 08:00:00+02:00,11.3,100.0,0.2
Œwinoujœcie,2021-07-07 08:00:00+02:00,17.6,89.0,0.7
Tarnów,2021-07-07 08:00:00+02:00,28.8,46.0,0
Terespol,2021-07-07 08:00:00+02:00,26.7,66.3,0
Toruñ,2021-07-07 08:00:00+02:00,27.5,54.2,0
Ustka,2021-07-07 08:00:00+02:00,21.1,79.5,0
Warszawa,2021-07-07 08:00:00+02:00,27.4,54.9,0
Wieluñ,2021-07-07 08:00:00+02:00,27,53.0,0
W³odawa,2021-07-07 08:00:00+02:00,26.1,68.4,0
Wroc³aw,2021-07-07 08:00:00+02:00,24.4,57.2,0
Zakopane,2021-07-07 08:00:00+02:00,24.7,49.2,0
Zamoœæ,2021-07-07 08:00:00+02:00,26.3,66.3,0
Zielona Góra,2021-07-07 08:00:00+02:00,18.4,73.6,0
Bia³ystok,2021-07-07 09:00:00+02:00,26.9,61.1,0
Bielsko Bia³a,2021-07-07 09:00:00+02:00,28.4,40.8,0
Chojnice,2021-07-07 09:00:00+02:00,24.7,62.3,0
Czêstochowa,2021-07-07 09:00:00+02:00,29.6,36.0,0
Elbl¹g,2021-07-07 09:00:00+02:00,26.6,58.0,0
Gdañsk,2021-07-07 09:00:00+02:00,26.1,57.2,0
Gorzów,2021-07-07 09:00:00+02:00,18.8,81.9,0
Hel,2021-07-07 09:00:00+02:00,26,59.0,0
Jelenia Góra,2021-07-07 09:00:00+02:00,18.8,79.7,0
Kalisz,2021-07-07 09:00:00+02:00,28.4,49.0,0
Kasprowy Wierch,2021-07-07 09:00:00+02:00,14.7,65.4,0
Katowice,2021-07-07 09:00:00+02:00,29.2,39.9,0
Kêtrzyn,2021-07-07 09:00:00+02:00,28.2,54.0,0
Kielce,2021-07-07 09:00:00+02:00,28.4,49.0,0
K³odzko,2021-07-07 09:00:00+02:00,22.6,66.5,0
Ko³o,2021-07-07 08:00:00+02:00,28.4,44.8,0
Ko³obrzeg,2021-07-07 09:00:00+02:00,19.8,84.7,0.01
Koszalin,2021-07-07 09:00:00+02:00,20.6,80.5,0
Kozienice,2021-07-07 09:00:00+02:00,29.3,48.9,0
Kraków,2021-07-07 09:00:00+02:00,29.2,47.0,0
Krosno,2021-07-07 09:00:00+02:00,27.4,50.1,0
Legnica,2021-07-07 09:00:00+02:00,22.3,67.3,0
Lesko,2021-07-07 09:00:00+02:00,27.3,46.9,0
Leszno,2021-07-07 09:00:00+02:00,25.3,55.2,0
Lêbork,2021-07-07 09:00:00+02:00,24.5,67.3,0
Lublin,2021-07-07 09:00:00+02:00,27.5,54.2,0
£eba,2021-07-07 09:00:00+02:00,22.6,76.7,0.01
£ódŸ,2021-07-07 09:00:00+02:00,29.3,47.0,0
Miko³ajki,2021-07-07 09:00:00+02:00,27.3,61.2,0
M³awa,2021-07-07 09:00:00+02:00,29.1,44.1,0
Nowy S¹cz,2021-07-07 09:00:00+02:00,28.1,49.0,0
Olsztyn,2021-07-07 09:00:00+02:00,29.1,42.9,0
Opole,2021-07-07 09:00:00+02:00,26.4,57.2,0
Ostro³êka,2021-07-07 08:00:00+02:00,27.6,59.3,0
Pi³a,2021-07-07 09:00:00+02:00,24.5,59.1,0
Platforma,2021-07-07 09:00:00+02:00,22.2,77.6,0
P³ock,2021-07-07 09:00:00+02:00,29.3,41.9,0.01
Poznañ,2021-07-07 09:00:00+02:00,26.4,47.1,0
Przemyœl,2021-07-07 09:00:00+02:00,27.3,60.4,0
Racibórz,2021-07-07 09:00:00+02:00,26.1,56.0,0
Resko,2021-07-07 09:00:00+02:00,18.9,84.6,0.01
Rzeszów,2021-07-07 09:00:00+02:00,28.2,62.1,0
Sandomierz,2021-07-07 09:00:00+02:00,27.9,51.9,0
Siedlce,2021-07-07 09:00:00+02:00,28.1,51.9,0
S³ubice,2021-07-07 09:00:00+02:00,16.8,94.9,0.4
Sulejów,2021-07-07 09:00:00+02:00,28.4,53.0,0
Suwa³ki,2021-07-07 09:00:00+02:00,26.8,62.3,0
Szczecin,2021-07-07 09:00:00+02:00,17.8,93.1,1
Szczecinek,2021-07-07 09:00:00+02:00,22.7,67.4,0
Œnie¿ka,2021-07-07 09:00:00+02:00,10.9,100.0,0.2
Œwinoujœcie,2021-07-07 09:00:00+02:00,17.7,89.6,0.7
Tarnów,2021-07-07 09:00:00+02:00,30,38.8,0
Terespol,2021-07-07 09:00:00+02:00,27.4,61.2,0
Toruñ,2021-07-07 09:00:00+02:00,28.9,48.8,0
Ustka,2021-07-07 08:00:00+02:00,21.1,79.5,0
Warszawa,2021-07-07 09:00:00+02:00,28.8,52.1,0
Wieluñ,2021-07-07 09:00:00+02:00,28.8,44.9,0
W³odawa,2021-07-07 09:00:00+02:00,27.3,60.0,0
Wroc³aw,2021-07-07 09:00:00+02:00,25.8,55.3,0
Zakopane,2021-07-07 09:00:00+02:00,25.1,48.0,0
Zamoœæ,2021-07-07 09:00:00+02:00,26.9,59.2,0
Zielona Góra,2021-07-07 09:00:00+02:00,17.3,80.6,0
Bia³ystok,2021-07-07 10:00:00+02:00,27.7,57.1,0
Bielsko Bia³a,2021-07-07 10:00:00+02:00,29.4,35.0,0
Chojnice,2021-07-07 10:00:00+02:00,25.3,60.0,0
Czêstochowa,2021-07-07 10:00:00+02:00,31.1,31.8,0
Elbl¹g,2021-07-07 10:00:00+02:00,26.9,58.0,0
Gdañsk,2021-07-07 10:00:00+02:00,24.5,65.1,0
Gorzów,2021-07-07 10:00:00+02:00,18,75.6,0
Hel,2021-07-07 10:00:00+02:00,25.2,63.2,0
Jelenia Góra,2021-07-07 10:00:00+02:00,15.8,84.8,0
Kalisz,2021-07-07 10:00:00+02:00,29.9,46.0,0
Kasprowy Wierch,2021-07-07 10:00:00+02:00,15.9,72.7,0
Katowice,2021-07-07 10:00:00+02:00,29.9,34.9,0
Kêtrzyn,2021-07-07 10:00:00+02:00,28.7,51.0,0
Kielce,2021-07-07 10:00:00+02:00,29.1,44.9,0
K³odzko,2021-07-07 10:00:00+02:00,23.3,67.5,0
Ko³o,2021-07-07 09:00:00+02:00,30.4,37.9,0
Ko³obrzeg,2021-07-07 10:00:00+02:00,19.9,83.6,0.01
Koszalin,2021-07-07 10:00:00+02:00,20.6,80.5,0
Kozienice,2021-07-07 10:00:00+02:00,29.6,46.8,0
Kraków,2021-07-07 10:00:00+02:00,30.4,39.9,0
Krosno,2021-07-07 10:00:00+02:00,28.2,43.8,0
Legnica,2021-07-07 10:00:00+02:00,19.4,72.4,0
Lesko,2021-07-07 10:00:00+02:00,26.8,44.1,0
Leszno,2021-07-07 09:00:00+02:00,25.3,55.2,0
Lêbork,2021-07-07 10:00:00+02:00,23.7,72.5,0
Lublin,2021-07-07 10:00:00+02:00,28.7,48.8,0
£eba,2021-07-07 10:00:00+02:00,22.2,82.7,0.01
£ódŸ,2021-07-07 10:00:00+02:00,30.2,44.0,0
Miko³ajki,2021-07-07 10:00:00+02:00,27.2,60.0,0
M³awa,2021-07-07 10:00:00+02:00,29.9,42.0,0
Nowy S¹cz,2021-07-07 10:00:00+02:00,29.2,47.9,0
Olsztyn,2021-07-07 10:00:00+02:00,29.7,43.9,0
Opole,2021-07-07 10:00:00+02:00,28.7,46.9,0
Ostro³êka,2021-07-07 09:00:00+02:00,29,51.1,0
Pi³a,2021-07-07 10:00:00+02:00,24.1,59.0,0
Platforma,2021-07-07 10:00:00+02:00,20.9,83.7,0
P³ock,2021-07-07 10:00:00+02:00,30.1,35.9,0.01
Poznañ,2021-07-07 10:00:00+02:00,27.1,45.1,0
Przemyœl,2021-07-07 10:00:00+02:00,28,55.7,0
Racibórz,2021-07-07 10:00:00+02:00,28.7,48.8,0
Resko,2021-07-07 10:00:00+02:00,18.9,80.8,0.01
Rzeszów,2021-07-07 10:00:00+02:00,28.8,47.9,0
Sandomierz,2021-07-07 10:00:00+02:00,28.7,47.8,0
Siedlce,2021-07-07 10:00:00+02:00,28.9,46.1,0
S³ubice,2021-07-07 10:00:00+02:00,17.3,93.7,0.4
Sulejów,2021-07-07 10:00:00+02:00,29.7,49.9,0
Suwa³ki,2021-07-07 10:00:00+02:00,26.9,56.9,0
Szczecin,2021-07-07 10:00:00+02:00,18,92.0,1
Szczecinek,2021-07-07 10:00:00+02:00,22.2,73.7,0
Œnie¿ka,2021-07-07 10:00:00+02:00,10.7,100.0,0.2
Œwinoujœcie,2021-07-07 10:00:00+02:00,18.4,90.8,0.7
Tarnów,2021-07-07 10:00:00+02:00,30.8,38.7,0
Terespol,2021-07-07 10:00:00+02:00,28.1,50.9,0
Toruñ,2021-07-07 10:00:00+02:00,29.7,44.8,0
Ustka,2021-07-07 10:00:00+02:00,20.8,83.7,0
Warszawa,2021-07-07 10:00:00+02:00,29.2,47.0,0
Wieluñ,2021-07-07 10:00:00+02:00,30.1,40.9,0
W³odawa,2021-07-07 10:00:00+02:00,28.2,56.1,0
Wroc³aw,2021-07-07 10:00:00+02:00,25.9,54.2,0
Zakopane,2021-07-07 10:00:00+02:00,26.1,49.1,0
Zamoœæ,2021-07-07 10:00:00+02:00,27.9,57.1,0
Zielona Góra,2021-07-07 10:00:00+02:00,16.3,90.7,0
Bia³ystok,2021-07-07 11:00:00+02:00,28.4,56.1,0
Bielsko Bia³a,2021-07-07 11:00:00+02:00,30.1,31.0,0
Chojnice,2021-07-07 11:00:00+02:00,25.7,59.3,0
Czêstochowa,2021-07-07 11:00:00+02:00,30,36.8,0
Elbl¹g,2021-07-07 11:00:00+02:00,27.3,55.9,0
Gdañsk,2021-07-07 11:00:00+02:00,24.2,70.3,0
Gorzów,2021-07-07 11:00:00+02:00,17.6,89.0,0
Hel,2021-07-07 10:00:00+02:00,25.2,63.2,0
Jelenia Góra,2021-07-07 11:00:00+02:00,15.4,91.8,0
Kalisz,2021-07-07 11:00:00+02:00,30.6,39.0,0
Kasprowy Wierch,2021-07-07 11:00:00+02:00,15.6,73.6,0
Katowice,2021-07-07 11:00:00+02:00,30.3,35.0,0
Kêtrzyn,2021-07-07 11:00:00+02:00,29,52.1,0
Kielce,2021-07-07 11:00:00+02:00,30.3,43.7,0
K³odzko,2021-07-07 11:00:00+02:00,23.1,67.4,0
Ko³o,2021-07-07 11:00:00+02:00,30.3,36.0,0
Ko³obrzeg,2021-07-07 11:00:00+02:00,19.7,83.6,0.01
Koszalin,2021-07-07 11:00:00+02:00,20,84.7,0
Kozienice,2021-07-07 11:00:00+02:00,30.5,44.9,0
Kraków,2021-07-07 11:00:00+02:00,30.9,38.8,0
Krosno,2021-07-07 11:00:00+02:00,29.2,43.8,0
Legnica,2021-07-07 11:00:00+02:00,18.5,76.6,0
Lesko,2021-07-07 11:00:00+02:00,27.8,42.9,0
Leszno,2021-07-07 11:00:00+02:00,21,73.5,0
Lêbork,2021-07-07 11:00:00+02:00,24.2,57.2,0
Lublin,2021-07-07 11:00:00+02:00,29,48.8,0
£eba,2021-07-07 11:00:00+02:00,21.8,84.8,0.01
£ódŸ,2021-07-07 11:00:00+02:00,30.2,42.9,0
Miko³ajki,2021-07-07 11:00:00+02:00,27.6,56.0,0
M³awa,2021-07-07 11:00:00+02:00,30.2,39.9,0
Nowy S¹cz,2021-07-07 11:00:00+02:00,30.4,33.0,0
Olsztyn,2021-07-07 11:00:00+02:00,28.8,44.9,0
Opole,2021-07-07 11:00:00+02:00,30.1,40.9,0
Ostro³êka,2021-07-07 10:00:00+02:00,29.1,48.9,0
Pi³a,2021-07-07 11:00:00+02:00,23.4,60.1,0
Platforma,2021-07-07 11:00:00+02:00,20.6,85.8,0
P³ock,2021-07-07 11:00:00+02:00,30.9,36.8,0.01
Poznañ,2021-07-07 11:00:00+02:00,24.7,55.1,0
Przemyœl,2021-07-07 11:00:00+02:00,28.6,56.9,0
Racibórz,2021-07-07 11:00:00+02:00,30.6,45.8,0
Resko,2021-07-07 11:00:00+02:00,17.9,80.7,0.01
